Time(s)	CPU_Usage(%)
39.608	35.50
39.629	43.70
39.647	39.30
39.668	40.60
39.688	42.40
39.708	39.30
39.728	40.70
39.748	43.70
39.769	45.50
39.788	46.70
39.809	41.40
39.830	47.10
39.850	54.80
39.869	51.60
39.889	45.20
39.909	51.60
39.930	43.70
39.951	43.30
39.971	48.50
39.991	45.50
40.011	43.30
40.031	41.40
40.051	37.90
40.072	43.70
40.091	46.90
40.111	40.00
40.132	40.00
40.152	40.60
40.172	40.60
40.192	35.70
40.214	38.70
40.232	44.80
40.253	32.10
40.272	40.60
40.293	35.50
40.312	34.50
40.334	40.00
40.354	46.90
40.374	39.30
40.394	40.60
40.414	38.70
40.433	40.00
40.455	37.50
40.474	39.30
40.494	36.70
40.514	41.90
40.534	43.70
40.553	41.40
40.572	35.70
40.593	39.40
40.613	41.90
40.633	43.30
40.654	37.50
40.673	33.30
40.693	43.70
40.712	34.50
40.734	38.70
40.753	40.00
40.774	42.40
40.793	43.30
40.813	40.00
40.835	47.20
40.854	37.00
40.874	40.60
40.895	42.90
40.914	40.70
40.934	40.60
40.955	27.60
40.976	40.00
40.996	44.80
41.015	45.20
41.036	43.30
41.057	59.40
41.077	56.30
41.099	42.40
41.117	37.50
41.138	43.70
41.156	63.00
41.177	45.70
41.196	41.40
41.216	37.90
41.237	46.70
41.256	39.30
41.276	58.10
41.297	56.70
41.318	54.50
41.337	38.70
41.358	53.30
41.379	56.70
41.398	60.00
41.418	53.30
41.439	54.80
41.459	55.20
41.478	63.30
41.498	56.70
41.519	56.70
41.540	50.00
41.558	67.90
41.578	56.70
41.598	54.50
41.619	57.60
41.640	56.70
41.660	48.40
41.681	48.30
41.701	57.60
41.722	56.30
41.742	54.50
41.762	48.10
41.782	48.30
41.802	51.60
41.823	51.60
41.843	43.70
41.863	44.80
41.884	35.30
41.925	21.90
41.940	43.50
41.960	37.50
41.979	36.70
42.001	39.40
42.020	43.30
42.040	33.30
42.061	40.00
42.081	35.70
42.100	37.90
42.119	43.70
42.139	32.30
42.158	37.90
42.176	30.80
42.196	35.50
42.215	35.50
42.234	33.30
42.255	27.60
42.274	36.40
42.294	35.70
42.312	43.70
42.332	35.70
42.351	35.50
42.371	36.70
42.389	36.70
42.409	32.30
42.428	34.50
42.448	32.30
42.469	37.50
42.487	38.70
42.508	35.50
42.527	39.40
42.547	37.50
42.568	28.60
42.587	24.10
42.663	14.30
42.739	12.10
42.799	18.30
42.817	44.80
42.837	40.00
42.856	41.90
42.875	41.40
42.895	36.70
42.916	43.30
42.935	40.00
42.955	59.40
42.974	66.70
42.994	41.90
43.014	65.60
43.034	60.60
43.053	58.60
43.074	61.80
43.093	37.90
43.114	45.50
43.133	56.70
43.154	46.90
43.173	45.20
43.192	43.30
43.213	46.90
43.231	41.40
43.252	40.60
43.272	43.70
43.291	39.30
43.311	40.00
43.331	40.00
43.351	38.70
43.370	41.90
43.391	38.70
43.410	38.70
43.432	45.50
43.452	39.40
43.472	36.70
43.492	41.40
43.512	37.90
43.532	45.70
43.553	42.40
43.573	40.00
43.593	40.00
43.613	44.10
43.635	43.80
43.653	46.70
43.673	43.80
43.694	38.70
43.714	46.90
43.734	37.50
43.755	37.50
43.774	37.50
43.795	26.70
43.816	36.40
43.836	35.30
43.856	31.00
43.900	22.90
43.917	48.10
43.939	38.90
43.959	41.90
43.980	37.50
44.001	38.70
44.022	40.60
44.043	39.40
44.063	35.50
44.083	34.40
44.104	34.40
44.124	40.60
44.145	42.40
44.167	35.50
44.186	38.70
44.207	37.50
44.228	38.70
44.249	48.50
44.269	40.00
44.290	40.00
44.311	44.10
44.332	40.60
44.352	36.40
44.372	26.70
44.392	33.30
44.412	37.50
44.434	38.20
44.454	34.40
44.474	27.60
44.495	29.00
44.517	36.40
44.594	17.40
44.707	17.30
44.728	37.50
44.748	40.00
44.768	37.50
44.788	35.50
44.809	36.70
44.829	36.70
44.849	40.60
44.869	33.30
44.890	35.50
44.910	34.40
44.930	35.50
44.951	47.10
44.971	34.50
44.992	34.40
45.012	48.50
45.034	54.50
45.053	40.00
45.073	43.70
45.093	32.30
45.114	32.30
45.135	33.30
45.155	38.70
45.175	38.70
45.194	35.50
45.214	33.30
45.235	38.20
45.256	36.70
45.275	38.70
45.299	32.30
45.317	37.00
45.337	41.20
45.358	32.30
45.378	37.90
45.399	54.80
45.420	57.10
45.440	48.30
45.460	36.70
45.480	61.80
45.501	53.10
45.522	51.60
45.542	45.20
45.562	53.10
45.583	51.60
45.603	56.70
45.624	54.50
45.644	60.00
45.664	40.00
45.684	39.40
45.703	30.80
45.724	33.30
45.745	34.40
45.764	37.50
45.807	22.10
45.825	40.70
45.845	40.00
45.866	41.90
45.886	36.70
45.905	41.90
45.927	38.70
45.946	32.10
45.966	37.50
45.986	30.00
46.006	41.90
46.028	33.30
46.047	34.50
46.066	40.00
46.086	38.20
46.107	36.70
46.127	41.90
46.147	41.90
46.165	30.80
46.186	33.30
46.206	39.40
46.227	39.40
46.245	29.20
46.265	38.20
46.286	40.60
46.307	35.50
46.327	36.40
46.349	38.70
46.372	43.20
46.390	37.90
46.410	27.60
46.429	35.50
46.488	23.90
46.548	20.00
46.623	17.10
46.683	21.10
46.702	44.80
46.723	46.90
46.742	43.30
46.761	44.80
46.780	40.00
46.800	43.70
46.821	42.40
46.841	43.30
46.860	45.20
46.880	45.50
46.902	45.50
46.920	39.30
46.940	44.10
46.960	43.30
46.981	41.90
47.001	45.50
47.020	40.70
47.040	43.70
47.059	33.30
47.080	47.10
47.100	41.40
47.120	43.30
47.139	41.40
47.159	43.70
47.177	41.40
47.199	40.60
47.219	43.30
47.239	45.20
47.258	40.70
47.278	42.40
47.298	43.70
47.318	43.80
47.338	41.90
47.359	37.90
47.379	50.00
47.397	42.90
47.417	45.20
47.438	43.70
47.457	44.80
47.478	48.50
47.496	48.30
47.517	43.70
47.537	36.70
47.558	44.10
47.576	42.90
47.596	35.70
47.615	45.20
47.635	42.40
47.656	40.00
47.677	45.50
47.697	38.70
47.718	41.20
47.740	40.60
47.760	44.10
47.782	41.20
47.801	41.90
47.823	37.50
47.845	44.10
47.864	45.50
47.886	37.50
47.907	47.10
47.928	43.70
47.950	45.50
47.971	45.50
47.992	50.00
48.014	52.80
48.034	43.30
48.056	45.70
48.077	50.00
48.099	38.70
48.118	50.00
48.139	45.50
48.158	50.00
48.176	42.90
48.197	48.50
48.216	48.40
48.237	40.00
48.256	40.00
48.275	43.70
48.296	36.70
48.316	43.70
48.336	40.00
48.355	43.30
48.376	41.90
48.394	34.60
48.415	44.40
48.436	42.40
48.456	39.30
48.474	43.30
48.495	40.00
48.514	45.50
48.534	39.30
48.553	54.80
48.574	54.80
48.595	51.60
48.615	51.70
48.635	62.50
48.655	58.10
48.676	48.40
48.696	62.10
48.715	67.90
48.735	53.30
48.755	45.20
48.774	43.30
48.794	43.30
48.814	43.70
48.833	41.40
48.854	40.00
48.873	41.40
48.893	41.90
48.912	43.30
48.932	41.90
48.952	41.90
48.972	45.50
48.992	35.70
49.012	43.70
49.031	41.40
49.051	37.90
49.071	43.80
49.090	42.90
49.108	41.40
49.130	44.10
49.150	43.70
49.169	39.30
49.188	41.40
49.208	43.70
49.227	45.20
49.247	43.70
49.268	45.50
49.287	35.70
49.306	43.30
49.327	32.30
49.347	42.40
49.367	40.00
49.386	41.90
49.406	37.90
49.427	44.10
49.445	37.00
49.466	41.20
49.486	41.90
49.506	43.70
49.526	43.30
49.545	40.00
49.565	40.60
49.585	41.90
49.606	44.10
49.625	39.30
49.646	45.50
49.665	40.70
49.685	40.60
49.706	40.60
49.724	44.80
49.744	41.90
49.765	47.10
49.784	39.30
49.803	41.40
49.825	42.90
49.844	50.00
49.862	37.00
49.883	47.10
49.903	37.90
49.922	41.40
49.942	45.20
49.963	42.40
49.981	39.30
50.002	45.50
50.021	39.30
50.042	41.90
50.060	37.00
50.080	37.90
50.100	43.70
50.120	43.30
50.141	43.70
50.159	42.90
50.179	41.90
50.196	39.30
50.218	39.40
50.239	42.90
50.258	40.00
50.278	37.90
50.296	41.40
50.316	34.40
50.336	37.50
50.356	35.50
50.375	30.00
50.395	37.50
50.416	35.50
50.435	33.30
50.455	37.50
50.475	37.50
50.494	35.50
50.515	34.40
50.534	40.60
50.552	32.00
50.574	31.40
50.592	37.90
50.614	30.30
50.633	35.70
50.652	31.00
50.675	37.10
50.693	43.30
50.712	36.70
50.732	31.00
50.752	38.20
50.794	19.00
50.812	43.30
50.831	33.30
50.852	40.60
50.871	46.90
50.892	41.90
50.911	37.90
50.931	38.70
50.951	35.50
50.971	43.30
50.991	40.00
51.011	39.40
51.030	40.00
51.050	32.10
51.070	36.70
51.087	35.70
51.108	39.40
51.128	32.10
51.149	42.40
51.167	33.30
51.187	34.40
51.206	35.70
51.226	40.60
51.244	40.00
51.266	40.00
51.285	30.80
51.305	36.70
51.325	38.20
51.345	41.90
51.364	34.50
51.384	39.40
51.404	30.80
51.478	20.00
51.556	17.10
51.633	19.00
51.651	40.70
51.671	38.70
51.691	37.90
51.709	37.00
51.728	35.50
51.749	40.60
51.768	37.90
51.789	35.50
51.808	41.40
51.828	37.90
51.846	37.90
51.866	37.90
51.887	42.90
51.905	35.70
51.924	41.40
51.944	38.70
51.964	56.70
51.985	37.50
52.004	41.40
52.024	36.70
52.043	55.20
52.064	57.10
52.085	41.20
52.103	44.80
52.124	54.80
52.144	57.60
52.164	53.60
52.185	32.30
52.206	37.50
52.223	33.30
52.245	36.40
52.264	40.00
52.285	36.70
52.304	39.30
52.324	36.70
52.343	41.90
52.364	35.50
52.383	32.10
52.404	39.40
52.422	37.00
52.442	33.30
52.462	37.50
52.482	35.50
52.503	35.50
52.522	39.30
52.541	29.60
52.562	40.60
52.582	43.70
52.600	34.60
52.619	34.50
52.640	40.00
52.659	35.70
52.678	37.50
52.720	19.70
52.735	50.00
52.756	39.40
52.775	48.40
52.794	46.40
52.815	35.50
52.835	41.20
52.854	37.90
52.874	36.70
52.892	36.70
52.914	39.40
52.932	37.90
52.952	37.90
52.972	36.70
52.992	35.50
53.012	39.40
53.032	35.50
53.052	38.70
53.073	39.40
53.094	36.70
53.113	45.20
53.133	34.50
53.153	42.90
53.174	35.50
53.194	41.20
53.215	35.50
53.235	34.50
53.256	36.70
53.275	40.60
53.295	36.70
53.315	29.40
53.429	15.20
53.509	19.00
53.529	45.50
53.550	46.90
53.570	50.00
53.589	40.70
53.609	40.00
53.630	43.70
53.648	40.70
53.669	42.40
53.690	47.10
53.709	40.00
53.731	44.10
53.751	41.40
53.770	39.30
53.791	45.50
53.810	39.30
53.830	41.90
53.851	47.10
53.871	41.40
53.892	47.10
53.911	40.70
53.931	45.50
53.952	47.10
53.973	45.50
53.992	43.30
54.014	47.10
54.032	46.70
54.052	41.90
54.073	45.50
54.094	48.40
54.113	48.40
54.133	45.20
54.153	45.20
54.173	42.40
54.194	48.50
54.213	42.90
54.233	42.40
54.254	40.60
54.273	43.70
54.295	42.90
54.313	40.70
54.334	38.70
54.354	44.10
54.375	43.70
54.395	45.50
54.416	41.90
54.435	41.90
54.456	37.50
54.477	43.70
54.499	40.60
54.518	46.90
54.538	46.90
54.558	41.90
54.579	40.60
54.600	52.90
54.619	44.40
54.639	45.50
54.660	43.70
54.680	39.30
54.700	47.10
54.726	71.80
54.741	76.90
54.761	63.30
54.783	61.80
54.803	67.70
54.823	57.60
54.844	53.10
54.865	54.80
54.885	43.80
54.907	42.40
54.926	37.90
54.949	44.10
54.972	44.40
54.992	40.60
55.012	38.70
55.032	39.40
55.053	40.00
55.074	50.00
55.093	43.30
55.113	42.40
55.134	47.10
55.153	41.90
55.174	35.50
55.194	43.70
55.215	40.60
55.235	37.50
55.256	37.50
55.276	40.60
55.297	35.50
55.317	35.50
55.338	35.50
55.358	42.40
55.378	37.50
55.399	40.60
55.418	41.90
55.437	38.70
55.458	34.40
55.479	38.20
55.500	40.00
55.519	33.30
55.539	31.20
55.561	41.20
55.603	26.90
55.619	50.00
55.640	41.90
55.659	43.30
55.678	43.30
55.701	41.70
55.721	45.50
55.742	34.50
55.762	38.70
55.783	34.40
55.802	37.50
55.824	36.40
55.844	39.40
55.864	37.50
55.885	33.30
55.905	40.60
55.926	41.90
55.944	35.70
55.967	33.30
55.986	40.60
56.007	36.70
56.027	37.50
56.048	42.40
56.067	38.70
56.087	45.20
56.108	48.60
56.126	33.30
56.147	34.40
56.168	40.00
56.189	44.40
56.207	44.40
56.226	34.50
56.304	20.60
56.420	16.50
56.440	43.70
56.461	36.70
56.481	40.60
56.501	48.50
56.520	41.40
56.542	47.40
56.561	46.90
56.583	38.70
56.603	48.60
56.622	44.80
56.643	43.70
56.663	43.30
56.682	42.90
56.702	46.70
56.722	45.20
56.744	61.10
56.763	70.00
56.784	48.50
56.804	65.50
56.824	42.40
56.846	61.80
56.867	53.10
56.888	59.40
56.907	34.50
56.929	39.40
56.947	37.90
56.968	37.50
56.989	41.20
57.009	44.80
57.028	39.30
57.049	39.40
57.070	36.70
57.088	37.00
57.109	42.40
57.128	30.80
57.148	41.20
57.169	37.90
57.188	41.90
57.208	39.40
57.229	37.50
57.250	43.70
57.269	45.50
57.289	38.70
57.310	47.10
57.328	37.00
57.348	33.30
57.369	36.40
57.389	36.70
57.409	37.90
57.430	44.10
57.447	37.90
57.468	32.40
57.489	41.70
57.533	25.70
57.550	43.50
57.570	40.00
57.590	43.30
57.610	45.50
57.633	39.40
57.651	40.00
57.671	32.10
57.692	37.50
57.712	42.40
57.731	36.70
57.752	35.50
57.771	41.40
57.790	31.00
57.811	42.40
57.831	37.50
57.851	43.80
57.872	33.30
57.891	37.50
57.912	35.50
57.932	44.10
57.952	43.30
57.971	43.70
57.993	42.40
58.014	48.50
58.032	40.70
58.052	40.60
58.071	34.50
58.092	38.20
58.113	37.50
58.189	20.00
58.267	15.00
58.347	17.40
58.365	41.40
58.386	37.50
58.405	33.30
58.426	33.30
58.446	40.60
58.466	33.30
58.486	40.60
58.507	42.40
58.526	33.30
58.546	38.70
58.566	37.50
58.586	36.70
58.606	37.50
58.627	38.70
58.647	40.00
58.667	45.20
58.686	35.70
58.706	38.70
58.726	42.40
58.746	37.90
58.766	38.70
58.786	38.70
58.805	37.90
58.825	38.70
58.845	42.40
58.866	35.50
58.886	40.60
58.906	37.90
58.925	45.20
58.944	41.40
58.964	37.90
58.983	38.70
59.002	36.70
59.022	33.30
59.043	41.20
59.063	36.70
59.083	43.70
59.103	36.70
59.124	38.70
59.142	41.90
59.162	38.70
59.182	37.90
59.202	36.70
59.223	43.80
59.242	43.30
59.261	43.30
59.281	33.30
59.300	33.30
59.320	40.00
59.340	45.20
59.360	41.90
59.379	45.20
59.400	43.70
59.420	45.50
59.440	41.90
59.461	41.90
59.481	44.10
59.502	37.90
59.521	32.30
59.541	21.90
59.559	14.30
59.578	18.80
59.597	10.70
59.617	15.20
59.635	14.30
